COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
9,Hawaii,Maui County,15,167417,164655,164221
1,Idaho,Ada County,16,481587,497984,511931
3,Idaho,Adams County,16,517421,4424,4625
5,Idaho,Bannock County,16,87808,87177,88263
7,Idaho,Bear Lake County,16,6125,6370,6545
9,Idaho,Benewah County,16,9298,9576,9931
11,Idaho,Bingham County,16,46811,48068,48876
13,Idaho,Blaine County,16,23021,24327,24766
15,Idaho,Boise County,16,7831,7647,8094
17,Idaho,Bonner County,16,45739,47390,49491
19,Idaho,Bonneville County,16,119062,124626,127930
21,Idaho,Boundary County,16,12245,12113,12561
23,Idaho,Butte County,16,219186,2577,2654
25,Idaho,Camas County,16,1106,1089,1139
27,Idaho,Canyon County,16,229849,232714,243115
29,Idaho,Caribou County,16,7155,7015,7111
31,Idaho,Cassia County,16,24030,24699,25164
