countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
13,Colorado,Boulder County,249752.0,251019.0,20712.0,19086.0,1864.0,1865.0,1864.0,1865.0,8
14,Colorado,Broomfield County,57722.0,58745.0,3245.0,3669.0,425.0,555.0,425.0,555.0,8
15,Colorado,Chaffee County,12111.0,12194.0,1539.0,1695.0,185.0,239.0,185.0,239.0,8
17,Colorado,Cheyenne County,1198.0,1182.0,204.0,173.0,25.0,25.0,25.0,25.0,8
19,Colorado,Clear Creek County,7016.0,6819.0,547.0,619.0,73.0,91.0,73.0,91.0,8
21,Colorado,Conejos County,5651.0,5560.0,708.0,740.0,86.0,105.0,86.0,105.0,8
23,Colorado,Costilla County,2319.0,2382.0,419.0,408.0,50.0,58.0,50.0,58.0,8
25,Colorado,Crowley County,1998.0,2051.0,286.0,176.0,36.0,31.0,36.0,31.0,8
27,Colorado,Custer County,2794.0,2865.0,413.0,371.0,52.0,55.0,52.0,55.0,8
29,Colorado,Delta County,19349.0,18889.0,2524.0,2879.0,291.0,365.0,291.0,365.0,8
