county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Ness County, KS",135,KS,Ness County,1652.0,1728.0,326.0,301.0,36.0,41.0,36.0,41.0,20
"Norton County, KS",137,KS,Norton County,3079.0,3133.0,391.0,353.0,47.0,52.0,47.0,52.0,20
"Osage County, KS",139,KS,Osage County,11284.0,11175.0,1247.0,1253.0,142.0,173.0,142.0,173.0,20
"Osborne County, KS",141,KS,Osborne County,2196.0,2222.0,327.0,289.0,40.0,43.0,40.0,43.0,20
"Ottawa County, KS",143,KS,Ottawa County,3984.0,4024.0,430.0,412.0,52.0,59.0,52.0,59.0,20
"Pawnee County, KS",145,KS,Pawnee County,3698.0,3637.0,386.0,363.0,51.0,58.0,51.0,58.0,20
"Phillips County, KS",147,KS,Phillips County,3466.0,3431.0,423.0,405.0,52.0,58.0,52.0,58.0,20
"Pottawatomie County, KS",149,KS,Pottawatomie County,18925.0,19201.0,1808.0,1794.0,209.0,241.0,209.0,241.0,20
"Pratt County, KS",151,KS,Pratt County,6118.0,6003.0,799.0,906.0,94.0,126.0,94.0,126.0,20
"Rawlins County, KS",153,KS,Rawlins County,1540.0,1608.0,265.0,190.0,31.0,29.0,31.0,29.0,20
"Reno County, KS",155,KS,Reno County,40936.0,41086.0,5664.0,5305.0,564.0,628.0,564.0,628.0,20
"Republic County, KS",157,KS,Republic County,2918.0,2951.0,390.0,298.0,48.0,44.0,48.0,44.0,20
"Rice County, KS",159,KS,Rice County,6246.0,6140.0,822.0,778.0,95.0,107.0,95.0,107.0,20
"Riley County, KS",161,KS,Riley County,50961.0,51269.0,5883.0,5919.0,772.0,909.0,772.0,909.0,20
"Rooks County, KS",163,KS,Rooks County,3296.0,3151.0,433.0,499.0,51.0,68.0,51.0,68.0,20
"Rush County, KS",165,KS,Rush County,1990.0,1943.0,254.0,223.0,31.0,33.0,31.0,33.0,20
"Russell County, KS",167,KS,Russell County,4471.0,4394.0,607.0,618.0,72.0,85.0,72.0,85.0,20
"Saline County, KS",169,KS,Saline County,38553.0,38033.0,4599.0,4649.0,481.0,598.0,481.0,598.0,20
"Scott County, KS",171,KS,Scott County,3272.0,3240.0,530.0,531.0,60.0,71.0,60.0,71.0,20
"Sedgwick County, KS",173,KS,Sedgwick County,378404.0,380663.0,53090.0,52074.0,3239.0,3448.0,3239.0,3448.0,20
"Seward County, KS",175,KS,Seward County,14879.0,14253.0,3648.0,3746.0,364.0,425.0,364.0,425.0,20
"Shawnee County, KS",177,KS,Shawnee County,127969.0,125886.0,12400.0,12955.0,1143.0,1373.0,1143.0,1373.0,20
"Sheridan County, KS",179,KS,Sheridan County,1627.0,1761.0,277.0,141.0,33.0,22.0,33.0,22.0,20
"Sherman County, KS",181,KS,Sherman County,4240.0,3968.0,423.0,520.0,55.0,74.0,55.0,74.0,20
"Smith County, KS",183,KS,Smith County,2258.0,2268.0,298.0,238.0,36.0,35.0,36.0,35.0,20
"Stafford County, KS",185,KS,Stafford County,2691.0,2656.0,460.0,459.0,51.0,60.0,51.0,60.0,20
"Stanton County, KS",187,KS,Stanton County,1360.0,1286.0,258.0,287.0,28.0,35.0,28.0,35.0,20
"Stevens County, KS",189,KS,Stevens County,3625.0,3602.0,874.0,880.0,90.0,103.0,90.0,103.0,20
"Sumner County, KS",191,KS,Sumner County,16397.0,16038.0,1807.0,1854.0,198.0,242.0,198.0,242.0,20
"Thomas County, KS",193,KS,Thomas County,5452.0,5329.0,653.0,703.0,77.0,97.0,77.0,97.0,20
"Trego County, KS",195,KS,Trego County,1786.0,1798.0,224.0,213.0,28.0,32.0,28.0,32.0,20
"Wabaunsee County, KS",197,KS,Wabaunsee County,4958.0,4883.0,459.0,516.0,55.0,72.0,55.0,72.0,20
"Wallace County, KS",199,KS,Wallace County,1015.0,1060.0,122.0,125.0,16.0,18.0,16.0,18.0,20
"Washington County, KS",201,KS,Washington County,3545.0,3568.0,520.0,491.0,60.0,66.0,60.0,66.0,20
"Wichita County, KS",203,KS,Wichita County,1374.0,1338.0,288.0,271.0,32.0,36.0,32.0,36.0,20
"Wilson County, KS",205,KS,Wilson County,5772.0,5688.0,747.0,645.0,87.0,89.0,87.0,89.0,20
"Woodson County, KS",207,KS,Woodson County,2000.0,1961.0,306.0,257.0,37.0,39.0,37.0,39.0,20
"Wyandotte County, KS",209,KS,Wyandotte County,116906.0,117721.0,23968.0,21959.0,1846.0,1965.0,1846.0,1965.0,20
"Adair County, KY",1,KY,Adair County,13009.0,13089.0,1213.0,1069.0,163.0,171.0,163.0,171.0,21
