,County,Sites
568,"Linn County, IA",17
569,"Louisa County, IA",2
570,"Lucas County, IA",1
571,"Madison County, IA",1
572,"Mahaska County, IA",1
573,"Marion County, IA",2
574,"Marshall County, IA",2
575,"Mills County, IA",1
576,"Monroe County, IA",1
577,"Montgomery County, IA",1
578,"Muscatine County, IA",4
579,"O'Brien County, IA",1
580,"Palo Alto County, IA",1
581,"Plymouth County, IA",1
582,"Pocahontas County, IA",1
583,"Polk County, IA",28
584,"Pottawattamie County, IA",4
585,"Poweshiek County, IA",2
586,"Ringgold County, IA",3
587,"Scott County, IA",13
588,"Shelby County, IA",4
589,"Sioux County, IA",1
590,"Story County, IA",9
591,"Tama County, IA",2
592,"Taylor County, IA",2
593,"Union County, IA",1
594,"Wapello County, IA",3
595,"Warren County, IA",1
596,"Washington County, IA",2
597,"Wayne County, IA",1
598,"Webster County, IA",3
599,"Winnebago County, IA",1
600,"Woodbury County, IA",6
601,"Ada County, ID",57
602,"Adams County, ID",1
603,"Bannock County, ID",19
604,"Bear Lake County, ID",2
605,"Benewah County, ID",2
606,"Bingham County, ID",8
607,"Blaine County, ID",4
608,"Bonner County, ID",7
609,"Bonneville County, ID",19
610,"Boundary County, ID",4
611,"Butte County, ID",1
612,"Canyon County, ID",23
613,"Caribou County, ID",2
614,"Cassia County, ID",1
615,"Clearwater County, ID",1
616,"Custer County, ID",1
617,"Elmore County, ID",3
618,"Franklin County, ID",3
619,"Fremont County, ID",1
620,"Gem County, ID",4
621,"Gooding County, ID",3
622,"Idaho County, ID",2
623,"Jefferson County, ID",2
624,"Jerome County, ID",3
625,"Kootenai County, ID",15
626,"Latah County, ID",10
627,"Lemhi County, ID",2
628,"Madison County, ID",8
629,"Minidoka County, ID",1
630,"Nez Perce County, ID",9
631,"Oneida County, ID",1
632,"Owyhee County, ID",1
633,"Payette County, ID",3
634,"Power County, ID",3
635,"Shoshone County, ID",3
636,"Teton County, ID",2
637,"Twin Falls County, ID",9
638,"Valley County, ID",2
639,"Washington County, ID",1
640,"Adams County, IL",5
641,"Alexander County, IL",1
642,"Bond County, IL",2
643,"Boone County, IL",1
644,"Bureau County, IL",1
645,"Calhoun County, IL",1
646,"Cass County, IL",2
647,"Champaign County, IL",17
648,"Christian County, IL",3
649,"Clay County, IL",1
650,"Clinton County, IL",3
651,"Coles County, IL",6
652,"Cook County, IL",455
653,"Cumberland County, IL",1
654,"De Witt County, IL",4
655,"DeKalb County, IL",8
656,"Douglas County, IL",1
657,"DuPage County, IL",100
658,"Edgar County, IL",2
659,"Effingham County, IL",3
660,"Fayette County, IL",1
661,"Ford County, IL",1
662,"Franklin County, IL",4
663,"Fulton County, IL",4
664,"Greene County, IL",1
665,"Grundy County, IL",5
666,"Hamilton County, IL",1
667,"Hancock County, IL",2
668,"Hardin County, IL",1
669,"Henry County, IL",5
670,"Iroquois County, IL",3
671,"Jackson County, IL",8
672,"Jasper County, IL",2
673,"Jefferson County, IL",3
674,"Jersey County, IL",3
675,"Jo Daviess County, IL",3
676,"Johnson County, IL",1
677,"Kane County, IL",40
678,"Kankakee County, IL",10
679,"Kendall County, IL",13
680,"Knox County, IL",6
681,"Lake County, IL",81
682,"LaSalle County, IL",10
683,"Lawrence County, IL",2
684,"Lee County, IL",2
685,"Livingston County, IL",5
686,"Logan County, IL",3
687,"Macon County, IL",13
688,"Macoupin County, IL",2
689,"Madison County, IL",25
690,"Marion County, IL",3
691,"Marshall County, IL",3
692,"Mason County, IL",1
693,"Massac County, IL",2
694,"McDonough County, IL",5
695,"McHenry County, IL",27
696,"McLean County, IL",16
697,"Monroe County, IL",5
698,"Montgomery County, IL",2
699,"Morgan County, IL",4
700,"Moultrie County, IL",2
701,"Ogle County, IL",3
702,"Peoria County, IL",24
703,"Piatt County, IL",1
704,"Pope County, IL",1
705,"Pulaski County, IL",1
706,"Putnam County, IL",1
707,"Randolph County, IL",2
708,"Richland County, IL",2
709,"Rock Island County, IL",23
710,"Saline County, IL",3
711,"Sangamon County, IL",25
712,"Shelby County, IL",1
713,"St. Clair County, IL",24
714,"Stephenson County, IL",5
715,"Tazewell County, IL",13
716,"Union County, IL",3
717,"Vermilion County, IL",6
718,"Wabash County, IL",1
719,"Warren County, IL",2
720,"Wayne County, IL",2
721,"White County, IL",1
722,"Whiteside County, IL",4
723,"Will County, IL",65
724,"Williamson County, IL",7
725,"Winnebago County, IL",27
726,"Woodford County, IL",4
727,"Adams County, IN",5
728,"Allen County, IN",42
729,"Bartholomew County, IN",12
730,"Benton County, IN",1
731,"Blackford County, IN",3
732,"Boone County, IN",11
733,"Brown County, IN",2
734,"Carroll County, IN",4
735,"Cass County, IN",3
736,"Clark County, IN",13
737,"Clay County, IN",4
738,"Clinton County, IN",4
739,"Crawford County, IN",2
740,"Daviess County, IN",3
741,"Dearborn County, IN",6
742,"Decatur County, IN",4
743,"DeKalb County, IN",4
744,"Delaware County, IN",17
745,"Dubois County, IN",6
746,"Elkhart County, IN",24
747,"Fayette County, IN",4
748,"Floyd County, IN",15
749,"Fountain County, IN",3
750,"Franklin County, IN",3
751,"Fulton County, IN",3
752,"Gibson County, IN",4
753,"Grant County, IN",8
754,"Greene County, IN",7
755,"Hamilton County, IN",43
756,"Hancock County, IN",10
757,"Harrison County, IN",3
758,"Hendricks County, IN",16
759,"Henry County, IN",8
760,"Howard County, IN",14
761,"Huntington County, IN",4
762,"Jackson County, IN",6
763,"Jasper County, IN",5
764,"Jay County, IN",6
765,"Jefferson County, IN",6
766,"Jennings County, IN",4
767,"Johnson County, IN",22
768,"Knox County, IN",5
769,"Kosciusko County, IN",7
770,"LaGrange County, IN",3
771,"Lake County, IN",54
772,"LaPorte County, IN",19
773,"Lawrence County, IN",8
774,"Madison County, IN",16
775,"Marion County, IN",110
776,"Marshall County, IN",7
777,"Martin County, IN",2
778,"Miami County, IN",4
779,"Monroe County, IN",15
780,"Montgomery County, IN",5
781,"Morgan County, IN",7
782,"Newton County, IN",3
783,"Noble County, IN",4
784,"Ohio County, IN",1
785,"Orange County, IN",5
786,"Owen County, IN",2
787,"Parke County, IN",3
788,"Perry County, IN",3
789,"Pike County, IN",2
790,"Porter County, IN",17
791,"Posey County, IN",2
792,"Pulaski County, IN",3
793,"Putnam County, IN",5
794,"Randolph County, IN",4
795,"Ripley County, IN",4
796,"Rush County, IN",4
797,"Scott County, IN",3
798,"Shelby County, IN",7
799,"Spencer County, IN",1
800,"St. Joseph County, IN",35
801,"Starke County, IN",6
802,"Steuben County, IN",4
803,"Sullivan County, IN",2
804,"Switzerland County, IN",2
805,"Tippecanoe County, IN",26
806,"Tipton County, IN",2
807,"Union County, IN",2
808,"Vanderburgh County, IN",21
809,"Vermillion County, IN",2
810,"Vigo County, IN",17
811,"Wabash County, IN",5
812,"Warren County, IN",1
813,"Warrick County, IN",4
814,"Washington County, IN",3
815,"Wayne County, IN",9
816,"Wells County, IN",3
817,"White County, IN",7
818,"Whitley County, IN",5
819,"Allen County, KS",2
820,"Atchison County, KS",3
821,"Barber County, KS",3
822,"Barton County, KS",3
823,"Bourbon County, KS",4
824,"Butler County, KS",3
825,"Cherokee County, KS",4
826,"Clay County, KS",2
827,"Cloud County, KS",2
828,"Cowley County, KS",4
829,"Crawford County, KS",4
830,"Dickinson County, KS",1
831,"Douglas County, KS",14
832,"Ellis County, KS",4
833,"Ellsworth County, KS",2
834,"Finney County, KS",6
835,"Ford County, KS",4
836,"Franklin County, KS",2
837,"Geary County, KS",4
838,"Grant County, KS",2
839,"Gray County, KS",2
840,"Hamilton County, KS",1
841,"Harvey County, KS",1
842,"Johnson County, KS",48
843,"Kearny County, KS",2
844,"Kingman County, KS",1
845,"Labette County, KS",4
846,"Leavenworth County, KS",5
847,"Lincoln County, KS",2
848,"Linn County, KS",2
849,"Lyon County, KS",4
850,"Marshall County, KS",1
851,"McPherson County, KS",1
852,"Meade County, KS",1
853,"Miami County, KS",2
854,"Mitchell County, KS",1
855,"Montgomery County, KS",2
856,"Neosho County, KS",2
857,"Ness County, KS",1
858,"Osborne County, KS",1
859,"Pawnee County, KS",1
860,"Pottawatomie County, KS",2
861,"Pratt County, KS",3
862,"Reno County, KS",4
863,"Rice County, KS",1
864,"Riley County, KS",6
865,"Saline County, KS",7
866,"Sedgwick County, KS",20
867,"Seward County, KS",2
868,"Shawnee County, KS",14
869,"Stevens County, KS",1
870,"Thomas County, KS",1
871,"Wyandotte County, KS",12
872,"Adair County, KY",3
873,"Allen County, KY",2
874,"Anderson County, KY",2
875,"Barren County, KY",2
876,"Bath County, KY",1
877,"Bell County, KY",5
878,"Boone County, KY",14
879,"Bourbon County, KY",2
880,"Boyd County, KY",6
881,"Boyle County, KY",2
882,"Bracken County, KY",2
883,"Breathitt County, KY",2
884,"Bullitt County, KY",13
885,"Butler County, KY",1
886,"Caldwell County, KY",1
887,"Calloway County, KY",4
888,"Campbell County, KY",8
889,"Carlisle County, KY",1
890,"Carroll County, KY",3
891,"Carter County, KY",2
892,"Casey County, KY",3
893,"Christian County, KY",3
894,"Clark County, KY",6
895,"Clay County, KY",2
896,"Crittenden County, KY",1
897,"Daviess County, KY",10
898,"Elliott County, KY",1
899,"Estill County, KY",3
900,"Fayette County, KY",33
901,"Fleming County, KY",1
902,"Floyd County, KY",9
903,"Franklin County, KY",7
904,"Fulton County, KY",1
905,"Gallatin County, KY",1
906,"Garrard County, KY",2
907,"Grant County, KY",1
908,"Graves County, KY",2
909,"Grayson County, KY",1
910,"Green County, KY",1
911,"Greenup County, KY",4
912,"Hardin County, KY",7
913,"Harlan County, KY",4
914,"Harrison County, KY",3
915,"Hart County, KY",2
916,"Henderson County, KY",5
917,"Henry County, KY",1
918,"Hopkins County, KY",6
919,"Jackson County, KY",2
920,"Jefferson County, KY",91
921,"Jessamine County, KY",7
922,"Johnson County, KY",1
923,"Kenton County, KY",18
924,"Knott County, KY",1
925,"Knox County, KY",5
926,"Larue County, KY",2
927,"Laurel County, KY",4
928,"Lawrence County, KY",2
929,"Lee County, KY",2
930,"Leslie County, KY",2
931,"Letcher County, KY",4
932,"Lewis County, KY",3
933,"Lincoln County, KY",1
934,"Logan County, KY",3
935,"Lyon County, KY",1
936,"Madison County, KY",9
937,"Magoffin County, KY",1
938,"Marion County, KY",1
939,"Marshall County, KY",3
940,"Martin County, KY",2
941,"Mason County, KY",3
942,"McCracken County, KY",9
943,"McCreary County, KY",2
944,"McLean County, KY",1
945,"Meade County, KY",2
946,"Mercer County, KY",2
947,"Metcalfe County, KY",1
948,"Montgomery County, KY",4
949,"Morgan County, KY",3
950,"Muhlenberg County, KY",4
951,"Nelson County, KY",2
952,"Oldham County, KY",3
953,"Owen County, KY",4
954,"Owsley County, KY",1
955,"Pendleton County, KY",1
956,"Perry County, KY",7
957,"Pike County, KY",8
958,"Powell County, KY",2
959,"Pulaski County, KY",8
960,"Rockcastle County, KY",2
961,"Rowan County, KY",2
962,"Russell County, KY",2
963,"Scott County, KY",4
964,"Shelby County, KY",4
965,"Simpson County, KY",2
966,"Taylor County, KY",1
967,"Todd County, KY",1
968,"Union County, KY",1
969,"Warren County, KY",12
970,"Washington County, KY",1
971,"Wayne County, KY",1
972,"Webster County, KY",1
973,"Whitley County, KY",3
974,"Wolfe County, KY",1
975,"Woodford County, KY",2
976,"Acadia Parish, LA",4
977,"Allen Parish, LA",2
978,"Ascension Parish, LA",10
979,"Avoyelles Parish, LA",3
980,"Beauregard Parish, LA",2
981,"Bienville Parish, LA",1
982,"Bossier Parish, LA",13
983,"Caddo Parish, LA",26
984,"Calcasieu Parish, LA",22
985,"Caldwell Parish, LA",1
