county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Glades County, FL",43,FL,Glades County,12,13811,12179,12234
"Gulf County, FL",45,FL,Gulf County,12,13639,14181,14363
"Hamilton County, FL",47,FL,Hamilton County,12,14428,13988,13993
"Hardee County, FL",49,FL,Hardee County,12,26937,25313,25425
"Hendry County, FL",51,FL,Hendry County,12,42022,39707,40313
"Hernando County, FL",53,FL,Hernando County,12,193920,195508,200638
"Highlands County, FL",55,FL,Highlands County,12,106221,101222,103296
"Hillsborough County, FL",57,FL,Hillsborough County,12,1471968,1463380,1478194
"Holmes County, FL",59,FL,Holmes County,12,19617,19622,19784
"Indian River County, FL",61,FL,Indian River County,12,159923,160345,163662
"Jackson County, FL",63,FL,Jackson County,12,51626,47214,47694
"Jefferson County, FL",65,FL,Jefferson County,12,658573,14560,14555
"Lafayette County, FL",67,FL,Lafayette County,12,6624,8252,8382
"Lake County, FL",69,FL,Lake County,12,64386,385875,395804
"Lee County, FL",71,FL,Lee County,12,164542,764679,787976
"Leon County, FL",73,FL,Leon County,12,293582,292378,292817
"Levy County, FL",75,FL,Levy County,12,41503,43051,44158
"Liberty County, FL",77,FL,Liberty County,12,8354,7974,7900
"Madison County, FL",79,FL,Madison County,12,372909,17976,18288
"Manatee County, FL",81,FL,Manatee County,12,403253,401443,412703
"Marion County, FL",83,FL,Marion County,12,29709,377370,385915
"Martin County, FL",85,FL,Martin County,12,161000,158529,159942
"Miami-Dade County, FL",86,FL,Miami-Dade County,12,2716940,2692459,2662777
"Monroe County, FL",87,FL,Monroe County,12,20733,82809,82170
"Nassau County, FL",89,FL,Nassau County,12,88625,90993,94189
"Okaloosa County, FL",91,FL,Okaloosa County,12,210738,211809,213255
"Okeechobee County, FL",93,FL,Okeechobee County,12,42168,39641,40266
"Orange County, FL",95,FL,Orange County,12,3175692,1429899,1422746
"Osceola County, FL",97,FL,Osceola County,12,375751,390855,403282
"Palm Beach County, FL",99,FL,Palm Beach County,12,1496770,1492466,1497987
